|-------|---------------|
| Phase | Steps         |
|-------|---------------|
|     1 |  116.87+-2.64 |
|     2 |  123.38+-2.05 |
|     3 |   48.80+-1.46 |
|     4 |   35.27+-1.33 |
|     5 |   27.43+-1.12 |
|     6 |   21.55+-0.85 |
|     7 |   21.35+-0.99 |
|     8 |   16.23+-0.66 |
|-------|---------------|

